season,year,bestgrade2,bestgrade3,bestgrade4,bestgrade5
Spring,2013,A,4,1,9
Spring,2014,A,4,2,9
Spring,2014,A,1,4,1
Autumn,2014,A,1,5,8
Spring,2013,A,2,1,10
High school,2010,A,10,2,10
Spring,2014,A,1,4,1
Winter,2012,A,10,7,6
Spring,2014,A,9,5,10
Autumn,2014,A,10,1,1
Spring,2014,A,6,1,1
Winter,2014,A,6,4,6
High school,2011,A,6,4,1
Spring,2014,A,6,4,1
Spring,2013,A,1,4,1
High school,2011,A,9,3,8
Spring,2014,A,7,1,10
Spring,2014,A,3,4,10
Spring,current,A,6,4,1
Spring,2013,A,10,4,1
Spring,2013,A,8,7,10
High school,2011,B,10,5,8
Spring,2013,A,10,4,10
Spring,2013,A,6,3,8
Spring,2013,A,1,4,1
Spring,2013,A,1,7,1
Spring,2014,B,8,5,10
Spring,2013,A,6,7,1
Spring,2014,A,1,4,1
Winter,2013,A,6,1,1
Spring,2013,A,6,2,9
Spring,2014,A,6,4,1
Spring,2014,A,1,4,8
Spring,2014,A,4,5,10
Spring,2014,A,1,4,1
Spring,2013,A,10,1,1
Autumn,2013,A,6,4,1
Spring,2013,A,1,3,9
Spring,2014,A,1,1,1
Spring,2014,A,6,1,1
Spring,2013,A,4,3,8
Spring,2014,A,6,1,6
Winter,2014,A,10,1,1
High school,2012,A,10,1,6
Spring,2013,A,5,4,9
Spring,2014,A,6,4,1
Spring,2014,A,8,1,9
Spring,2013,A,6,4,1
Spring,2013,A,7,3,9
Spring,2014,A,5,5,8
Autumn,2014,A,1,4,1
Spring,2013,A,10,4,1
Spring,2013,A,6,1,1
Spring,2013,A,10,4,1
Spring,2013,A,2,4,9
Spring,2014,A,6,4,1
Spring,2014,A,5,4,8
Spring,2013,A,10,4,1
Summer,2013,A,1,4,1
Spring,2013,A,6,4,1
Spring,2013,A,6,1,1
Spring,2014,A,6,1,1
Spring,2013,A,3,4,9
Spring,2013,A,7,1,8
Spring,2013,A,6,5,9
Autumn,2014,A,2,4,10
Spring,2013,A,1,1,1
Spring,2014,A,6,4,8
Spring,2014,A,10,7,1
Autumn,2008,E,3,6,9
Spring,2013,A,10,4,1
Spring,2014,A,10,4,1
Spring,2014,A,5,4,8
Spring,2014,A,6,4,1
Spring,2014,A,7,5,8
Spring,2013,A,6,4,1
Spring,2014,A,6,1,1
Spring,2013,A,6,4,10
Spring,2013,A,6,2,10
Spring,2013,A,8,2,9
Spring,2014,A,1,4,9
Spring,2014,C,6,4,1
Spring,2013,A,7,5,8
Spring,2014,A,3,2,8
Spring,2013,A,6,1,1
Spring,2014,A,6,4,8
Summer,2013,A,1,1,1
Spring,2014,A,6,1,9
High school,current,A,10,3,10
Spring,2013,A,4,7,8
Autumn,2013,A,6,4,1
Spring,2013,A,5,2,9
High school,2012,A,1,1,9
Spring,2013,A,9,5,8
Spring,2013,A,10,4,1
Spring,2013,A,10,1,1
Spring,2013,A,8,2,9
Spring,2013,A,7,1,10
Spring,2013,A,7,3,10
Spring,2014,A,6,1,6
Spring,2014,B,3,4,8
Spring,2014,B,10,4,10
Spring,2014,B,4,4,8
Spring,2013,A,6,4,6
Spring,2014,A,10,4,1
Spring,2014,A,4,2,9
High school,2011,A,2,1,8
Spring,2014,A,7,5,9
Spring,2014,A,6,4,1
Spring,2013,A,4,1,9
Spring,2013,A,4,5,9
Spring,2014,A,6,1,1
Autumn,2013,A,10,4,1
Spring,2014,A,8,5,10
Spring,2013,A,2,3,9
Spring,2014,A,8,4,9
Spring,2014,A,1,1,10
Autumn,2014,A,6,1,1
Spring,2013,A,6,4,1
Spring,2014,A,10,5,10
Spring,2014,A,3,5,9
Spring,2013,A,7,6,10
High school,2011,E,2,7,8
Spring,2013,A,10,1,8
Spring,2014,A,5,7,10
