mcmost1,mcmost2,mcmost3,mcmost4,mcmost5,gender
2,1,2,2,2,1
1,1,2,2,2,1
2,2,2,2,2,1
2,2,2,2,2,1
2,2,1,1,2,1
2,1,2,2,2,1
2,2,2,1,2,1
1,1,1,1,2,2
2,1,2,2,2,1
2,2,2,2,2,1
2,2,2,2,2,2
2,2,2,2,2,1
2,2,2,2,2,1
2,2,2,2,2,1
2,2,2,2,2,1
1,1,2,2,2,1
2,2,2,2,2,1
2,1,1,2,2,1
2,2,2,2,2,1
2,2,2,2,2,1
2,2,2,2,2,2
2,2,2,2,2,1
1,2,2,2,2,1
2,2,2,2,2,1
2,2,2,1,2,1
2,1,2,2,2,1
2,2,2,2,2,1
2,2,2,2,2,1
2,2,2,2,2,1
2,1,2,2,2,2
2,1,2,1,2,1
1,1,2,1,2,2
2,1,1,1,2,1
2,2,1,1,2,1
2,2,2,2,2,1
1,2,2,2,2,1
2,2,2,1,2,1
2,1,2,2,2,1
2,2,2,2,2,1
2,1,2,1,2,2
2,2,2,2,1,1
2,1,2,2,2,1
1,1,1,1,2,2
2,2,2,2,2,1
2,2,2,2,2,1
1,2,2,2,2,2
2,1,2,2,2,1
2,1,2,2,2,2
2,2,1,2,2,1
2,2,1,2,2,1
2,1,2,2,2,2
2,2,2,2,2,1
1,1,1,1,1,2
1,2,2,2,2,1
2,2,2,2,2,1
2,2,2,1,2,1
2,2,2,2,2,1
2,2,1,2,2,1
2,2,2,1,2,1
2,2,2,2,2,1
2,1,2,1,2,2
1,2,2,2,2,1
2,2,2,2,2,1
2,2,2,2,2,1
2,2,2,2,2,1
2,2,2,2,2,1
2,2,2,2,2,1
2,2,2,2,2,1
1,2,1,2,2,1
2,2,2,2,2,1
2,2,2,1,2,1
2,2,2,2,2,1
2,2,2,1,2,2
2,1,1,2,2,2
2,2,2,2,2,1
2,2,2,2,2,1
2,2,2,2,2,1
1,2,2,2,2,1
2,2,2,1,2,1
2,2,2,2,2,1
1,2,1,2,2,1
2,2,2,2,2,2
2,2,2,2,2,2
2,1,2,2,2,1
2,2,2,2,2,1
2,2,2,1,2,1
2,2,2,2,2,1
2,1,2,1,2,1
2,2,2,2,2,1
2,1,2,1,2,1
2,1,2,2,2,1
2,1,2,2,2,1
2,2,2,2,2,1
2,2,2,2,2,1
2,2,2,1,2,1
2,2,2,2,2,1
1,2,2,2,2,1
1,2,1,2,2,1
1,2,2,2,2,1
2,1,2,1,2,2
2,2,2,2,2,1
2,2,2,2,2,1
2,2,2,2,2,2
2,2,1,2,2,1
2,1,1,2,2,1
2,1,2,2,2,1
2,1,2,2,2,1
1,1,2,1,2,1
1,2,2,2,2,1
2,2,2,1,2,2
1,2,2,2,2,1
1,2,2,2,2,2
1,1,2,2,2,2
2,2,2,2,2,1
2,2,2,1,2,1
2,2,2,2,2,1
2,1,2,2,2,1
2,2,1,2,2,1
2,2,2,2,2,1
2,1,2,2,2,1
2,1,1,2,2,1
1,1,1,2,2,2
2,2,2,1,2,1
2,2,2,2,2,1
2,2,2,2,2,1
2,2,2,1,2,1
2,2,1,2,2,1
2,1,2,2,2,1
2,2,1,2,2,1
2,2,2,2,2,1
2,2,1,2,2,1
2,1,2,2,2,1
2,2,2,1,2,2
2,2,2,2,2,2
2,2,2,2,2,1
2,2,2,2,2,2
2,1,2,2,2,1
2,2,1,2,2,1
2,2,2,2,2,1
2,2,2,2,2,1
2,1,2,2,2,1
2,1,2,2,2,2
2,2,2,1,2,1
1,2,2,2,2,2
2,2,2,2,2,1
2,2,2,1,1,1
2,1,2,2,2,1
1,2,2,2,2,1
2,2,2,2,2,1
2,2,2,2,2,1
2,2,2,1,2,2
1,1,2,2,2,1
1,2,2,1,2,1
2,2,2,2,2,1
2,1,1,2,2,1
2,2,2,2,2,1
2,2,2,2,2,1
